match_created_utc,user_deck,oppo_deck,result_vs_oppo
2026-05-15T23:16:50+00:00,mono-white stompy,ur tempo,2-0
2026-05-15T04:03:12+00:00,mono-white stompy,ur Brandon prowess,1-2
2026-05-15T00:54:38+00:00,mono-white stompy,mardu energy,2-0
2026-05-15T10:00:48+00:00,Mardu energy,esper tempo,2-1
2026-05-15T08:54:58+00:00,Mardu energy,uw painter,2-0
2026-05-15T08:07:36+00:00,Mardu energy,UW stoneblade,2-0
2026-05-15T05:04:49+00:00,GW Depths,black aggro,0-2
2026-05-15T03:43:54+00:00,GW Depths,boros energy,0-2
2026-05-15T19:51:22+00:00,GW Depths,mardu energy,0-2
2026-05-15T03:09:55+00:00,Boros energy,g depths,0-2
2026-05-15T21:29:57+00:00,Boros energy,GW depths,2-0
2026-05-15T15:21:42+00:00,Boros energy,Grixis tempo,1-2
2026-05-15T01:09:25+00:00,UR tempo,w stompy,0-2
2026-05-15T01:05:05+00:00,UR tempo,death and taxes,2-1
2026-05-15T03:24:40+00:00,UR tempo,b Stompy,1-2
2026-05-15T07:57:37+00:00,UR tempo,mardu energy,2-1
2026-05-15T08:28:15+00:00,UR tempo,uw stone blade,2-0
2026-05-15T18:23:57+00:00,UR tempo,esper tempo,1-2
2026-05-15T21:55:07+00:00,UR Brandon prowess,ub tempo,0-2
2026-05-15T00:57:58+00:00,UR Brandon prowess,w stompy,2-1
2026-05-15T20:26:03+00:00,UR Brandon prowess,Ruby Storm,2-1
2026-05-15T07:14:22+00:00,UB Reanimator,merfolk,1-2
2026-05-15T23:39:41+00:00,UB Reanimator,ub tempo,1-2
2026-05-15T19:50:26+00:00,mono black Aggro splash,GW depths,2-0
2026-05-15T15:16:27+00:00,mono black Aggro splash,w stompy,1-2
2026-05-15T08:01:33+00:00,mono black Aggro splash,mardu energy,1-2
2026-05-15T16:21:18+00:00,Red Stompy,b Stompy,1-2
2026-05-15T21:27:16+00:00,Red Stompy,mono-white stompy,2-1
2026-05-15T10:07:43+00:00,UB tempo,b Stompy,1-2
2026-05-15T00:14:11+00:00,UB tempo,ub tempo,2-1
2026-05-15T05:48:46+00:00,UB tempo,death and taxes,2-1
2026-05-15T15:23:12+00:00,Merfolk,rb burn,1-2
2026-05-15T12:23:17+00:00,Merfolk,ub reanimator,2-1
2026-05-15T10:07:01+00:00,Merfolk,death and taxes,1-2
2026-05-15T05:39:39+00:00,UW painter,death and taxes,2-1
2026-05-15T07:50:21+00:00,UW painter,Mardu energy,0-2
2026-05-15T12:15:18+00:00,UW painter,UB tempo,2-1
2026-05-15T03:43:16+00:00,UR tempo,w stompy,0-2
2026-05-15T03:22:36+00:00,UR tempo,ub tempo,2-1
2026-05-15T13:49:57+00:00,UR tempo,ub tempo,0-2
2026-05-15T03:31:16+00:00,UB tempo,G Depths,2-0
2026-05-15T13:04:12+00:00,Mardu energy,Mardu energy,1-2
2026-05-15T12:31:22+00:00,Mardu energy,RB Burn,2-0
2026-05-15T21:58:51+00:00,UW stone blade splash black,ur tempo,0-2
2026-05-15T09:37:51+00:00,UW stone blade splash black,mardu energy,0-2
2026-05-15T01:34:55+00:00,Mardu energy,grixis tempo,2-1
2026-05-15T16:43:37+00:00,Mardu energy,Mardu energy,2-1
2026-05-15T19:31:24+00:00,Mardu energy,GW depths,0-2
2026-05-15T04:32:41+00:00,Grixis tempo,mardu energy,1-2
2026-05-15T13:46:55+00:00,Grixis tempo,death and taxes,2-0
2026-05-15T02:52:08+00:00,Grixis tempo,boros energy,2-1
2026-05-15T20:05:57+00:00,Black Stompy,ub tempo,2-1
2026-05-15T10:40:27+00:00,Black Stompy,r stompy,2-1
2026-05-15T22:53:17+00:00,Black Stompy,ur tempo,2-1
2026-05-15T22:31:10+00:00,Esper tempo,mardu energy,1-2
2026-05-15T13:10:00+00:00,Esper tempo,Mardu energy,2-0
2026-05-15T21:01:14+00:00,Esper tempo,ur tempo,2-1
2026-05-15T07:00:03+00:00,Ruby Storm,death and taxes,0-2
2026-05-15T02:31:56+00:00,Ruby Storm,rb burn,1-2
2026-05-15T01:40:06+00:00,Ruby Storm,ur Brandon prowess,1-2
2026-05-15T08:17:51+00:00,UB tempo,ub tempo,2-0
2026-05-15T10:32:10+00:00,UB tempo,ub tempo,1-2
2026-05-15T02:54:18+00:00,UB tempo,ur tempo,2-1
2026-05-15T08:28:32+00:00,Mardu energy,ur tempo,1-2
2026-05-15T03:40:38+00:00,Mardu energy,esper tempo,0-2
2026-05-15T13:50:23+00:00,Mardu energy,b aggro splash daze,2-1
2026-05-15T10:07:14+00:00,mono-white stompy,ur tempo,0-2
2026-05-15T16:30:29+00:00,mono-white stompy,b aggro splash daze,2-1
2026-05-15T23:08:40+00:00,mono-white stompy,red stompy,1-2
2026-05-15T13:16:59+00:00,Death and taxes,Ruby Storm,2-0
2026-05-15T05:55:19+00:00,Death and taxes,ur tempo,1-2
2026-05-15T13:28:40+00:00,Death and taxes,ub tempo,1-2
2026-05-15T12:56:06+00:00,Death and taxes,uw painter,1-2
2026-05-15T07:37:40+00:00,Death and taxes,grixis tempo,0-2
2026-05-15T09:43:13+00:00,Death and taxes,merfolk,2-1
2026-05-15T23:35:39+00:00,UB tempo,ub tempo,0-2
2026-05-15T02:35:58+00:00,UB tempo,ur tempo,1-2
2026-05-15T22:10:40+00:00,UB tempo,UW painter,1-2
2026-05-15T23:07:07+00:00,UB tempo,ur Brandon prowess,2-0
2026-05-15T06:13:51+00:00,UB tempo,ur tempo,2-0
2026-05-15T19:26:50+00:00,Green depths,boros energy,2-0
2026-05-15T08:54:47+00:00,Green depths,mardu energy,2-0
2026-05-15T05:56:57+00:00,Green depths,UB tempo,0-2
2026-05-15T16:49:49+00:00,RB Burn,merfolk,2-1
2026-05-15T13:48:55+00:00,RB Burn,Ruby Storm,2-1
2026-05-15T09:49:42+00:00,RB Burn,mardu energy,0-2
2026-05-15T23:18:06+00:00,Mardu energy,green depths,0-2
2026-05-15T20:16:40+00:00,Mardu energy,w stompy,0-2
2026-05-15T07:59:45+00:00,mono-white stompy,uw painter,2-1
2026-05-15T11:48:24+00:00,Mardu energy,mardu energy,1-2
2026-05-15T02:02:11+00:00,UR tempo,burn,2-1
2026-05-15T08:20:21+00:00,UR tempo,ub tempo,1-2
2026-05-15T01:10:07+00:00,UR Brandon prowess,mardu energy,0-2
2026-05-15T11:29:07+00:00,UB tempo,esper tempo,2-1
2026-05-15T14:36:21+00:00,Merfolk,mardu energy,0-2
2026-05-15T09:44:53+00:00,UW painter,w stompy,1-2
2026-05-15T02:24:35+00:00,UR tempo,death and taxes,2-1
2026-05-15T07:40:53+00:00,Mardu energy,ur Brandon prowess,2-0
2026-05-15T20:39:01+00:00,Mardu energy,mardu energy,2-1
2026-05-15T11:27:25+00:00,Grixis tempo,g depths,0-2
2026-05-15T07:44:29+00:00,Black Stompy,ub tempo,2-1
2026-05-15T23:51:49+00:00,Esper tempo,ub tempo,1-2
2026-05-15T18:10:35+00:00,UB tempo,ur tempo,2-1
2026-05-15T14:24:16+00:00,Death and taxes,ur tempo,1-2
2026-05-15T23:24:19+00:00,UB tempo,b Stompy,1-2
2026-05-15T16:42:22+00:00,Green depths,grixis tempo,2-0
2026-05-15T05:12:06+00:00,RB Burn,ur tempo,1-2
2026-05-15T09:38:38+00:00,Mardu energy,merfolk,2-0
